region,category,total_merchants,kyc_approved,logistics_configured,activated_30d,total_gmv,total_tickets,activation_rate_pct,avg_gmv_per_active_merchant,tickets_per_merchant
US_Central,Apparel,2634,2018,1206,663,765529.24,3194,54.98,1154.64,1.21
US_Central,Beauty_Personal_Care,1875,1420,851,433,536082.91,2366,50.88,1238.07,1.26
US_Central,Collectibles,688,543,337,181,214045.59,811,53.71,1182.57,1.18
US_Central,Electronics,1120,873,544,286,329305.82,1358,52.57,1151.42,1.21
US_Central,Home_Improvement,1159,886,501,276,343640.14,1362,55.09,1245.07,1.18
US_East,Apparel,6136,4740,2887,1513,1946115.9,7349,52.41,1286.26,1.2
US_East,Beauty_Personal_Care,4359,3358,2004,1047,1279075.73,5218,52.25,1221.66,1.2
US_East,Collectibles,1750,1318,769,396,516373.89,2137,51.5,1303.97,1.22
US_East,Electronics,2634,1967,1209,617,759683.48,3139,51.03,1231.25,1.19
US_East,Home_Improvement,2660,2053,1259,655,798522.19,3216,52.03,1219.12,1.21
US_South,Apparel,3526,2723,1656,887,1150612.05,4208,53.56,1297.2,1.19
US_South,Beauty_Personal_Care,2493,1888,1103,610,796852.02,3059,55.3,1306.31,1.23
US_South,Collectibles,933,728,454,240,293415.79,1135,52.86,1222.57,1.22
US_South,Electronics,1473,1132,672,365,475732.77,1731,54.32,1303.38,1.18
US_South,Home_Improvement,1501,1136,688,366,459143.73,1819,53.2,1254.49,1.21
US_West,Apparel,5262,4014,2363,1255,1584868.14,6296,53.11,1262.84,1.2
US_West,Beauty_Personal_Care,3661,2793,1590,864,1063081.17,4292,54.34,1230.42,1.17
US_West,Collectibles,1478,1126,672,348,419264.96,1817,51.79,1204.78,1.23
US_West,Electronics,2291,1742,1042,565,716968.78,2757,54.22,1268.97,1.2
US_West,Home_Improvement,2367,1784,1074,575,744141.88,2902,53.54,1294.16,1.23
