merchant_id,region,category,onboarding_start_date,ab_group,kyc_submitted,kyc_approved,catalog_uploaded,logistics_configured,activated_30d,gmv_30d,support_tickets_raised
MERCH_100000,US_East,Home_Improvement,2026-04-08,Variant_v2.0,1,1,1,0,0,0.0,0
MERCH_100001,US_South,Beauty_Personal_Care,2026-03-03,Variant_v2.0,1,0,0,0,0,0.0,1
MERCH_100002,US_Central,Apparel,2026-03-20,Variant_v2.0,1,1,0,0,0,0.0,1
MERCH_100003,US_East,Electronics,2026-01-17,Control_v1.0,1,1,1,1,0,0.0,0
MERCH_100004,US_West,Beauty_Personal_Care,2026-03-11,Control_v1.0,0,0,0,0,0,0.0,3
MERCH_100005,US_West,Beauty_Personal_Care,2026-01-22,Variant_v2.0,1,1,1,1,1,2297.27,3
MERCH_100006,US_West,Apparel,2026-01-23,Variant_v2.0,1,1,1,1,1,433.58,1
MERCH_100007,US_South,Electronics,2026-02-15,Variant_v2.0,1,1,1,1,0,0.0,2
MERCH_100008,US_East,Beauty_Personal_Care,2026-02-18,Variant_v2.0,1,0,0,0,0,0.0,2
MERCH_100009,US_Central,Apparel,2026-05-28,Control_v1.0,1,1,1,0,0,0.0,4
MERCH_100010,US_West,Collectibles,2026-06-03,Variant_v2.0,1,1,1,1,0,0.0,1
MERCH_100011,US_South,Beauty_Personal_Care,2026-04-22,Variant_v2.0,1,1,1,1,1,231.78,1
MERCH_100012,US_South,Electronics,2026-05-06,Variant_v2.0,1,1,1,1,0,0.0,0
MERCH_100013,US_West,Electronics,2026-01-19,Control_v1.0,1,1,1,0,0,0.0,0
MERCH_100014,US_West,Apparel,2026-01-04,Control_v1.0,1,1,0,0,0,0.0,0
MERCH_100015,US_West,Electronics,2026-03-13,Variant_v2.0,1,1,0,0,0,0.0,3
MERCH_100016,US_East,Apparel,2026-02-25,Variant_v2.0,1,0,0,0,0,0.0,1
MERCH_100017,US_East,Home_Improvement,2026-02-04,Control_v1.0,1,1,1,1,1,398.46,0
MERCH_100018,US_East,Electronics,2026-04-02,Control_v1.0,1,1,1,1,1,769.58,0
MERCH_100019,US_West,Apparel,2026-06-20,Variant_v2.0,1,0,0,0,0,0.0,2
MERCH_100020,US_East,Beauty_Personal_Care,2026-04-25,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100021,US_West,Electronics,2026-02-20,Variant_v2.0,1,1,1,1,1,284.72,2
MERCH_100022,US_West,Beauty_Personal_Care,2026-06-03,Variant_v2.0,1,1,0,0,0,0.0,0
MERCH_100023,US_East,Electronics,2026-02-17,Control_v1.0,1,1,1,1,1,1064.52,0
MERCH_100024,US_East,Apparel,2026-06-09,Variant_v2.0,1,1,1,1,0,0.0,1
MERCH_100025,US_Central,Home_Improvement,2026-04-25,Variant_v2.0,1,1,1,1,1,740.2,1
MERCH_100026,US_West,Apparel,2026-04-04,Variant_v2.0,0,0,0,0,0,0.0,2
MERCH_100027,US_East,Electronics,2026-05-30,Control_v1.0,1,0,0,0,0,0.0,1
MERCH_100028,US_East,Apparel,2026-02-20,Control_v1.0,1,1,1,1,0,0.0,0
MERCH_100029,US_West,Apparel,2026-04-27,Control_v1.0,0,0,0,0,0,0.0,1
MERCH_100030,US_East,Electronics,2026-06-09,Variant_v2.0,0,0,0,0,0,0.0,2
MERCH_100031,US_West,Apparel,2026-01-14,Control_v1.0,1,0,0,0,0,0.0,2
MERCH_100032,US_West,Home_Improvement,2026-01-01,Control_v1.0,1,1,0,0,0,0.0,2
MERCH_100033,US_South,Electronics,2026-04-17,Control_v1.0,1,1,0,0,0,0.0,1
MERCH_100034,US_South,Home_Improvement,2026-06-20,Variant_v2.0,1,1,0,0,0,0.0,1
MERCH_100035,US_South,Beauty_Personal_Care,2026-01-23,Control_v1.0,1,1,1,1,0,0.0,0
MERCH_100036,US_East,Apparel,2026-01-28,Variant_v2.0,1,1,1,1,0,0.0,3
MERCH_100037,US_West,Beauty_Personal_Care,2026-05-30,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100038,US_Central,Apparel,2026-06-26,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100039,US_East,Beauty_Personal_Care,2026-05-18,Control_v1.0,1,0,0,0,0,0.0,3
MERCH_100040,US_West,Electronics,2026-05-03,Variant_v2.0,1,1,1,0,0,0.0,0
MERCH_100041,US_East,Electronics,2026-06-13,Control_v1.0,1,1,0,0,0,0.0,1
MERCH_100042,US_West,Apparel,2026-03-30,Control_v1.0,1,0,0,0,0,0.0,2
MERCH_100043,US_South,Home_Improvement,2026-02-01,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100044,US_West,Beauty_Personal_Care,2026-05-31,Control_v1.0,1,1,1,1,0,0.0,3
MERCH_100045,US_Central,Beauty_Personal_Care,2026-06-23,Control_v1.0,0,0,0,0,0,0.0,0
MERCH_100046,US_East,Apparel,2026-05-25,Control_v1.0,1,1,1,1,0,0.0,3
MERCH_100047,US_East,Beauty_Personal_Care,2026-04-23,Control_v1.0,1,0,0,0,0,0.0,1
MERCH_100048,US_East,Electronics,2026-02-21,Variant_v2.0,1,1,1,1,0,0.0,0
MERCH_100049,US_West,Home_Improvement,2026-06-27,Variant_v2.0,1,1,0,0,0,0.0,2
MERCH_100050,US_South,Beauty_Personal_Care,2026-02-11,Control_v1.0,1,1,1,1,1,2781.82,2
MERCH_100051,US_Central,Electronics,2026-04-24,Variant_v2.0,1,1,1,1,0,0.0,1
MERCH_100052,US_South,Apparel,2026-03-03,Variant_v2.0,0,0,0,0,0,0.0,1
MERCH_100053,US_South,Home_Improvement,2026-01-24,Control_v1.0,1,1,0,0,0,0.0,1
MERCH_100054,US_East,Electronics,2026-02-26,Variant_v2.0,1,0,0,0,0,0.0,3
MERCH_100055,US_South,Home_Improvement,2026-05-14,Variant_v2.0,1,1,0,0,0,0.0,2
MERCH_100056,US_West,Beauty_Personal_Care,2026-03-24,Variant_v2.0,1,1,0,0,0,0.0,1
MERCH_100057,US_West,Apparel,2026-04-25,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100058,US_West,Beauty_Personal_Care,2026-03-24,Variant_v2.0,1,1,1,1,1,260.11,1
MERCH_100059,US_East,Beauty_Personal_Care,2026-04-25,Control_v1.0,1,0,0,0,0,0.0,1
MERCH_100060,US_East,Apparel,2026-03-17,Variant_v2.0,1,0,0,0,0,0.0,0
MERCH_100061,US_West,Apparel,2026-06-09,Control_v1.0,1,0,0,0,0,0.0,1
MERCH_100062,US_South,Home_Improvement,2026-06-02,Variant_v2.0,1,1,1,1,1,241.76,1
MERCH_100063,US_East,Apparel,2026-03-05,Variant_v2.0,1,1,1,1,1,1882.1,1
MERCH_100064,US_West,Home_Improvement,2026-01-04,Variant_v2.0,1,1,0,0,0,0.0,5
MERCH_100065,US_East,Apparel,2026-06-16,Variant_v2.0,1,1,0,0,0,0.0,1
MERCH_100066,US_West,Collectibles,2026-05-10,Variant_v2.0,1,1,0,0,0,0.0,1
MERCH_100067,US_South,Collectibles,2026-05-31,Control_v1.0,1,1,1,0,0,0.0,1
MERCH_100068,US_West,Beauty_Personal_Care,2026-03-25,Control_v1.0,1,1,1,1,1,2077.13,2
MERCH_100069,US_South,Collectibles,2026-02-05,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100070,US_Central,Home_Improvement,2026-01-17,Variant_v2.0,1,1,1,1,1,1972.77,0
MERCH_100071,US_West,Apparel,2026-03-27,Variant_v2.0,1,1,1,1,0,0.0,2
MERCH_100072,US_West,Collectibles,2026-03-12,Variant_v2.0,1,1,1,1,1,944.37,1
MERCH_100073,US_South,Apparel,2026-04-14,Variant_v2.0,1,1,0,0,0,0.0,1
MERCH_100074,US_Central,Apparel,2026-03-28,Variant_v2.0,1,1,0,0,0,0.0,0
MERCH_100075,US_Central,Beauty_Personal_Care,2026-03-15,Control_v1.0,1,1,1,1,0,0.0,0
MERCH_100076,US_Central,Apparel,2026-03-01,Control_v1.0,1,0,0,0,0,0.0,3
MERCH_100077,US_West,Apparel,2026-04-20,Control_v1.0,1,1,1,1,0,0.0,1
MERCH_100078,US_East,Collectibles,2026-02-09,Variant_v2.0,1,1,1,1,0,0.0,1
MERCH_100079,US_West,Collectibles,2026-02-18,Control_v1.0,1,1,0,0,0,0.0,1
MERCH_100080,US_South,Home_Improvement,2026-02-25,Variant_v2.0,1,1,1,1,0,0.0,3
MERCH_100081,US_East,Beauty_Personal_Care,2026-03-22,Control_v1.0,1,0,0,0,0,0.0,1
MERCH_100082,US_East,Collectibles,2026-01-10,Control_v1.0,1,0,0,0,0,0.0,2
MERCH_100083,US_West,Apparel,2026-05-02,Variant_v2.0,1,1,1,1,1,5084.85,1
